rel_path,vendor,hw_platform,profile,default_topo
device/arista/x86_64-arista_7800r3_48cq2_lc/Arista-7800R3-48CQ2-C48/buffers.json.j2,arista,x86_64-arista_7800r3_48cq2_lc,Arista-7800R3-48CQ2-C48,t2
device/arista/x86_64-arista_7800r3_48cqm2_lc/Arista-7800R3-48CQM2-C48/buffers.json.j2,arista,x86_64-arista_7800r3_48cqm2_lc,Arista-7800R3-48CQM2-C48,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C36/0/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C36,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C36/1/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C36,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C72/0/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C72,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C72/1/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C72,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-D36/0/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-D36,t2
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-D36/1/buffers.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-D36,t2
device/barefoot/x86_64-accton_as9516_32d-r0/newport/buffers.json.j2,barefoot,x86_64-accton_as9516_32d-r0,newport,t0
device/barefoot/x86_64-accton_wedge100bf_32x-r0/montara/buffers.json.j2,barefoot,x86_64-accton_wedge100bf_32x-r0,montara,t0
device/barefoot/x86_64-accton_wedge100bf_65x-r0/mavericks/buffers.json.j2,barefoot,x86_64-accton_wedge100bf_65x-r0,mavericks,t0
device/celestica/x86_64-cel_ds2000-r0/DS2000/buffers.json.j2,celestica,x86_64-cel_ds2000-r0,DS2000,t1
device/celestica/x86_64-cel_ds3000-r0/DS3000/buffers.json.j2,celestica,x86_64-cel_ds3000-r0,DS3000,t1
device/celestica/x86_64-cel_midstone-r0/Midstone-200i/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i,NOT_FOUND
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_128x100/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_128x100,NOT_FOUND
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_32x400/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_32x400,NOT_FOUND
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x100/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x100,NOT_FOUND
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x100nrz/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x100nrz,NOT_FOUND
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x200/buffers.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x200,NOT_FOUND
device/celestica/x86_64-cel_seastone-r0/Celestica-DX010-C32/buffers.json.j2,celestica,x86_64-cel_seastone-r0,Celestica-DX010-C32,t1
device/celestica/x86_64-cel_seastone-r0/Celestica-DX010-D48C8/buffers.json.j2,celestica,x86_64-cel_seastone-r0,Celestica-DX010-D48C8,t0
device/celestica/x86_64-cel_seastone_2-r0/Seastone_2/buffers.json.j2,celestica,x86_64-cel_seastone_2-r0,Seastone_2,t1
