rel_path,vendor,hw_platform,profile,group
device/nokia/x86_64-nokia_ixr7250e_36x400g-r0/Nokia-IXR7250E-36x400G/1/qos.json.j2,nokia,x86_64-nokia_ixr7250e_36x400g-r0,Nokia-IXR7250E-36x400G,C
device/quanta/x86_64-quanta_ix7_bwde-r0/Quanta-IX7-BWDE-32X/qos.json.j2,quanta,x86_64-quanta_ix7_bwde-r0,Quanta-IX7-BWDE-32X,B
device/quanta/x86_64-quanta_ix7_rglbmc-r0/Quanta-IX7-32X/qos.json.j2,quanta,x86_64-quanta_ix7_rglbmc-r0,Quanta-IX7-32X,B
device/quanta/x86_64-quanta_ix8_rglbmc-r0/Quanta-IX8-56X/qos.json.j2,quanta,x86_64-quanta_ix8_rglbmc-r0,Quanta-IX8-56X,B
device/quanta/x86_64-quanta_ix8a_bwde-r0/Quanta-IX8A-BWDE-56X/qos.json.j2,quanta,x86_64-quanta_ix8a_bwde-r0,Quanta-IX8A-BWDE-56X,B
device/quanta/x86_64-quanta_ix9_bwde-r0/Quanta-IX9-32X/qos.json.j2,quanta,x86_64-quanta_ix9_bwde-r0,Quanta-IX9-32X,OTHER
device/supermicro/x86_64-supermicro_sse_t7132s-r0/Supermicro_sse_t7132s/qos.json.j2,supermicro,x86_64-supermicro_sse_t7132s-r0,Supermicro_sse_t7132s,OTHER
device/virtual/x86_64-kvm_x86_64-r0/SONiC-VM/qos.json.j2,virtual,x86_64-kvm_x86_64-r0,SONiC-VM,A
device/virtual/x86_64-kvm_x86_64-r0/brcm_gearbox_vs/qos.json.j2,virtual,x86_64-kvm_x86_64-r0,brcm_gearbox_vs,A
device/virtual/x86_64-kvm_x86_64_4_asic-r0/msft_four_asic_vs/0/qos.json.j2,virtual,x86_64-kvm_x86_64_4_asic-r0,msft_four_asic_vs,A
device/virtual/x86_64-kvm_x86_64_6_asic-r0/msft_multi_asic_vs/0/qos.json.j2,virtual,x86_64-kvm_x86_64_6_asic-r0,msft_multi_asic_vs,A
device/wistron/x86_64-wistron_6512_32r-r0/wistron_6512_32r/qos.json.j2,wistron,x86_64-wistron_6512_32r-r0,wistron_6512_32r,OTHER
device/wistron/x86_64-wistron_6512_32r-r0/wistron_6512_32r_32x100/qos.json.j2,wistron,x86_64-wistron_6512_32r-r0,wistron_6512_32r_32x100,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k_104x1025_6x100/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k_104x1025_6x100,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k_24x400_8x100/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k_24x400_8x100,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k_28x400_4x100/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k_28x400_4x100,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k_32x100/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k_32x100,OTHER
device/wistron/x86_64-wistron_sw_to3200k-r0/Wistron_sw_to3200k_72x25_6x400/qos.json.j2,wistron,x86_64-wistron_sw_to3200k-r0,Wistron_sw_to3200k_72x25_6x400,OTHER
